小区名,地址,新房类型,建筑面积,每平方价格
建业碧桂园龙悦城,高新区,住宅,建筑面积：90-145㎡,8700
华地学府名都,宛城区,住宅,建筑面积：121-140㎡,11500
鑫联龙升苑,卧龙区,住宅,建筑面积：98.77-128.69㎡,6099
广苑珺悦府,宛城区,住宅,建筑面积：109-164.05㎡,11000
建业新筑,宛城区,住宅,建筑面积：112-165㎡,9600
邓州建业城,邓州,住宅,建筑面积：115-141.96㎡,4588
建业大城小院,宛城区,住宅,建筑面积：88-130㎡,8500
建业青云里,邓州,住宅,建筑面积：110-142㎡,6000
建业十里湖山·熙岸,卧龙区,住宅,建筑面积：90-230㎡,7900
西峡建业·公园里,西峡,住宅,建筑面积：120-137㎡,4300
建业臻悦汇,镇平,住宅,建筑面积：88-135㎡,4580
方城中基海棠湾,方城,住宅,建筑面积：115-142㎡,4988
淅川花漾美郡,淅川,住宅,建筑面积：110-145㎡,4163
内乡建业·龙城,内乡,住宅,建筑面积：96-165㎡,3896
鑫联外滩公馆,新野,住宅,建筑面积：120-133㎡,6300
碧桂园南都府,宛城区,住宅,建筑面积：45.23-163.15㎡,12000
碧桂园湖悦兰庭,邓州,住宅,建筑面积：108.89-165.4㎡,6000
领创滨河府,宛城区,住宅,建筑面积：115-143㎡,10200
方城明伦花漾美郡,方城,住宅,建筑面积：107-148㎡,5500
建业森林半岛3期·观澜,内乡,住宅,建筑面积：115-144㎡,4318
南召碧桂园,南召,住宅,建筑面积：126-225㎡,4200
南召建业城,南召,住宅,建筑面积：114.37-140㎡,4200
镇平建业城,镇平,住宅,建筑面积：125-163㎡,4500
卢浮帝景,邓州,住宅,建筑面积：113.44-120.42㎡,4080
鑫联·文景苑,社旗,住宅,建筑面积：123-127㎡,4500
鑫联两相府,卧龙区,住宅,建筑面积：105-125.56㎡,8500
书香名邸,卧龙区,住宅,建筑面积：83-112㎡,9100
内乡碧桂园天麓府,内乡,住宅,建筑面积：118.06-224.68㎡,4200
正商君悦兰庭,新野,住宅,建筑面积：115-139㎡,5210
金融街 荣府,内乡,住宅,建筑面积：123.28-161.71㎡,3896
海棠水岸,宛城区,住宅,建筑面积：127-155㎡,9900
邓州中梁首府,邓州,住宅,建筑面积：112-139㎡,5500
春秋府院,邓州,住宅,建筑面积：115-383.03㎡,10999
三川·御宾府,宛城区,住宅,建筑面积：119-220㎡,10200
海悦花苑,淅川,住宅,建筑面积：127.21-154.12㎡,4000
正商明珠城,邓州,住宅,建筑面积：112-140㎡,5700
方城建业·大城小院,方城,住宅,建筑面积：113-139㎡,4998
中梁珑熙府,卧龙区,住宅,建筑面积：96-128㎡,8900
和通·博士园,邓州,住宅,建筑面积：102.5-135.88㎡,5583
中梁金科江山印,宛城区,住宅,建筑面积：107-142㎡,10800
常绿卧龙府,宛城区,住宅,建筑面积：145-195㎡,10500
荣耀龙城,西峡,住宅,建筑面积：132.33-154.3㎡,4080
桐柏碧桂园,桐柏,住宅,建筑面积：125.3-162.9㎡,4300
泰美嘉·香溪里,卧龙区,住宅,建筑面积：89.95-119.9㎡,7999
碧桂园·翘楚台,宛城区,住宅,建筑面积：126-164㎡,9699
名门中州府,卧龙区,住宅,建筑面积：90-176.64㎡,8000
水韵绿城,高新区,住宅,建筑面积：42.61-235.73㎡,8400
常绿雅苑,宛城区,住宅,建筑面积：101.34-127.31㎡,9100
忆江南,宛城区,住宅,建筑面积：121.18-130.01㎡,7900
西峡恒大御景半岛,西峡,住宅,建筑面积：79.71-164㎡,4000
邓州东正·颐和府,邓州,住宅,建筑面积：115-145㎡,5600
东湖华府,邓州,住宅,建筑面积：115.1-128.62㎡,5500
内乡南湖湾,内乡,住宅,建筑面积：127.72-132.4㎡,4100
仙境一号,西峡,住宅,建筑面积：48.14-79.2㎡,6500
东郡华府,邓州,住宅,建筑面积：110.3-146.07㎡,4800
盛世国际城,南召,住宅,建筑面积：112.59-140.51㎡,3792
鸿扬天悦城,社旗,住宅,建筑面积：118.83-130.42㎡,3700
一品金麟府,新野,住宅,建筑面积：116-140.49㎡,4800
镇平碧桂园,镇平,住宅,建筑面积：118-185㎡,4850
正商新宇城,邓州,住宅,建筑面积：115.54-138.86㎡,4658
建业碧桂园龙悦城,高新区,住宅,建筑面积：90-145㎡,8700
华地学府名都,宛城区,住宅,建筑面积：121-140㎡,11500
鑫联龙升苑,卧龙区,住宅,建筑面积：98.77-128.69㎡,6099
广苑珺悦府,宛城区,住宅,建筑面积：109-164.05㎡,11000
建业新筑,宛城区,住宅,建筑面积：112-165㎡,9600
邓州建业城,邓州,住宅,建筑面积：115-141.96㎡,4588
建业大城小院,宛城区,住宅,建筑面积：88-130㎡,8500
建业青云里,邓州,住宅,建筑面积：110-142㎡,6000
建业十里湖山·熙岸,卧龙区,住宅,建筑面积：90-230㎡,7900
西峡建业·公园里,西峡,住宅,建筑面积：120-137㎡,4300
建业臻悦汇,镇平,住宅,建筑面积：88-135㎡,4580
方城中基海棠湾,方城,住宅,建筑面积：115-142㎡,4988
淅川花漾美郡,淅川,住宅,建筑面积：110-145㎡,4163
内乡建业·龙城,内乡,住宅,建筑面积：96-165㎡,3896
鑫联外滩公馆,新野,住宅,建筑面积：120-133㎡,6300
碧桂园南都府,宛城区,住宅,建筑面积：45.23-163.15㎡,12000
碧桂园湖悦兰庭,邓州,住宅,建筑面积：108.89-165.4㎡,6000
领创滨河府,宛城区,住宅,建筑面积：115-143㎡,10200
方城明伦花漾美郡,方城,住宅,建筑面积：107-148㎡,5500
建业森林半岛3期·观澜,内乡,住宅,建筑面积：115-144㎡,4318
南召碧桂园,南召,住宅,建筑面积：126-225㎡,4200
南召建业城,南召,住宅,建筑面积：114.37-140㎡,4200
镇平建业城,镇平,住宅,建筑面积：125-163㎡,4500
卢浮帝景,邓州,住宅,建筑面积：113.44-120.42㎡,4080
鑫联·文景苑,社旗,住宅,建筑面积：123-127㎡,4500
鑫联两相府,卧龙区,住宅,建筑面积：105-125.56㎡,8500
书香名邸,卧龙区,住宅,建筑面积：83-112㎡,9100
内乡碧桂园天麓府,内乡,住宅,建筑面积：118.06-224.68㎡,4200
正商君悦兰庭,新野,住宅,建筑面积：115-139㎡,5210
金融街 荣府,内乡,住宅,建筑面积：123.28-161.71㎡,3896
海棠水岸,宛城区,住宅,建筑面积：127-155㎡,9900
邓州中梁首府,邓州,住宅,建筑面积：112-139㎡,5500
春秋府院,邓州,住宅,建筑面积：115-383.03㎡,10999
三川·御宾府,宛城区,住宅,建筑面积：119-220㎡,10200
海悦花苑,淅川,住宅,建筑面积：127.21-154.12㎡,4000
正商明珠城,邓州,住宅,建筑面积：112-140㎡,5700
方城建业·大城小院,方城,住宅,建筑面积：113-139㎡,4998
中梁珑熙府,卧龙区,住宅,建筑面积：96-128㎡,8900
和通·博士园,邓州,住宅,建筑面积：102.5-135.88㎡,5583
中梁金科江山印,宛城区,住宅,建筑面积：107-142㎡,10800
常绿卧龙府,宛城区,住宅,建筑面积：145-195㎡,10500
荣耀龙城,西峡,住宅,建筑面积：132.33-154.3㎡,4080
桐柏碧桂园,桐柏,住宅,建筑面积：125.3-162.9㎡,4300
泰美嘉·香溪里,卧龙区,住宅,建筑面积：89.95-119.9㎡,7999
碧桂园·翘楚台,宛城区,住宅,建筑面积：126-164㎡,9699
名门中州府,卧龙区,住宅,建筑面积：90-176.64㎡,8000
水韵绿城,高新区,住宅,建筑面积：42.61-235.73㎡,8400
常绿雅苑,宛城区,住宅,建筑面积：101.34-127.31㎡,9100
忆江南,宛城区,住宅,建筑面积：121.18-130.01㎡,7900
西峡恒大御景半岛,西峡,住宅,建筑面积：79.71-164㎡,4000
邓州东正·颐和府,邓州,住宅,建筑面积：115-145㎡,5600
东湖华府,邓州,住宅,建筑面积：115.1-128.62㎡,5500
内乡南湖湾,内乡,住宅,建筑面积：127.72-132.4㎡,4100
仙境一号,西峡,住宅,建筑面积：48.14-79.2㎡,6500
东郡华府,邓州,住宅,建筑面积：110.3-146.07㎡,4800
盛世国际城,南召,住宅,建筑面积：112.59-140.51㎡,3792
鸿扬天悦城,社旗,住宅,建筑面积：118.83-130.42㎡,3700
一品金麟府,新野,住宅,建筑面积：116-140.49㎡,4800
镇平碧桂园,镇平,住宅,建筑面积：118-185㎡,4850
正商新宇城,邓州,住宅,建筑面积：115.54-138.86㎡,4658
淅川建业城,淅川,住宅,建筑面积：117-165㎡,4500
三杰•盛世新城,社旗,住宅,建筑面积：119-139㎡,4291
镇平东青·颐和府,镇平,住宅,建筑面积：119-143.71㎡,4600
财富新城,西峡,住宅,建筑面积：96.39-159.51㎡,3800
方城名矗山水中央,方城,住宅,建筑面积：115-140㎡,5200
悦澜湾,邓州,住宅,建筑面积：119.06-127.15㎡,4698
